Title,Start Date,End Date,Duration,Cost,Requirements,Ongoing Entry,Class Time,Job Accompanying,Form of Learning,Practical Experience,Graduation Form,Graduation Name,Link,Provider,Type of School,Address,Phone,Email,Website,Remarks
Programmieren mit Python,27.11.2023,27.12.2023,1 Monat,1.000 - 5.000 EUR,"Mind. 2-jährige Berufsausbildung oder 3 Jahre Berufserfahrung Geübt im Umgang mit Laptop, iPad, PC, sowie der Nutzung des Internets MS Office Grundkenntnisse",ja,Vollzeit,Nein,Blended Learning,Nein,Zertifikat der IU Akademie,Programmieren mit Python,https://www.iu-akademie.de/short/n_85/,Internationale Hochschule Internationale Hochschule,Private Hochschule,Juri-Gagarin-Ring 152 99084 Erfurt Thüringen,030 / 22027281,info@iu-akademie.de,https://www.iu-akademie.de/,"Für weitere Informationen zu unserer Weiterbildung, kann gerne ein persönlicher Beratungstermin vereinbart werden."
Programmieren mit Python,27.11.2023,27.12.2023,1 Monat,1.000 - 5.000 EUR,"Mind. 2-jährige Berufsausbildung oder 3 Jahre Berufserfahrung Geübt im Umgang mit Laptop, iPad, PC, sowie der Nutzung des Internets MS Office Grundkenntnisse",ja,Vollzeit,Nein,Blended Learning,Nein,Zertifikat der IU Akademie,Programmieren mit Python,https://www.iu-akademie.de/short/n_85/,Internationale Hochschule Internationale Hochschule,Private Hochschule,Juri-Gagarin-Ring 152 99084 Erfurt Thüringen,030 / 22027281,info@iu-akademie.de,https://www.iu-akademie.de/,"Für weitere Informationen zu unserer Weiterbildung, kann gerne ein persönlicher Beratungstermin vereinbart werden."
"Algorithmen, Datenstrukturen und Programmiersprachen",27.11.2023,27.01.2024,2 Monate,1.000 - 5.000 EUR,"Mind. 2-jährige Berufsausbildung oder 3 Jahre Berufserfahrung Geübt im Umgang mit Laptop, iPad, PC, sowie der Nutzung des Internets MS Office Grundkenntnisse Zertifikat Java Developer oder gleichwertige Vorkenntnisse Zertifikat Grundlagen der objektorientierten Programmierung mit Java oder gleichwertige Vorkenntnisse",ja,Teilzeit,Nein,Blended Learning,Nein,Zertifikat der IU Akademie,"Algorithmen, Datenstrukturen und Programmiersprachen",https://www.iu-akademie.de/short/n_86/,Internationale Hochschule Internationale Hochschule,Private Hochschule,Juri-Gagarin-Ring 152 99084 Erfurt Thüringen,030 / 22027281,info@iu-akademie.de,https://www.iu-akademie.de/,"Für weitere Informationen zu unserer Weiterbildung, kann gerne ein persönlicher Beratungstermin vereinbart werden."
"Algorithmen, Datenstrukturen und Programmiersprachen",27.11.2023,27.01.2024,2 Monate,1.000 - 5.000 EUR,"Mind. 2-jährige Berufsausbildung oder 3 Jahre Berufserfahrung Geübt im Umgang mit Laptop, iPad, PC, sowie der Nutzung des Internets MS Office Grundkenntnisse Zertifikat Java Developer oder gleichwertige Vorkenntnisse Zertifikat Grundlagen der objektorientierten Programmierung mit Java oder gleichwertige Vorkenntnisse",ja,Teilzeit,Nein,Blended Learning,Nein,Zertifikat der IU Akademie,"Algorithmen, Datenstrukturen und Programmiersprachen",https://www.iu-akademie.de/short/n_86/,Internationale Hochschule Internationale Hochschule,Private Hochschule,Juri-Gagarin-Ring 152 99084 Erfurt Thüringen,030 / 22027281,info@iu-akademie.de,https://www.iu-akademie.de/,"Für weitere Informationen zu unserer Weiterbildung, kann gerne ein persönlicher Beratungstermin vereinbart werden."
Human-Computer Interaction,27.11.2023,27.12.2023,1 Monat,1.000 - 5.000 EUR,"Mind. 2-jährige Berufsausbildung oder 3 Jahre Berufserfahrung Geübt im Umgang mit Laptop, iPad, PC, sowie der Nutzung des Internets MS Office Grundkenntnisse",ja,Vollzeit,Nein,Blended Learning,Nein,Zertifikat der IU Akademie,Human-Computer Interaction,https://www.iu-akademie.de/short/n_110/,Internationale Hochschule Internationale Hochschule,Private Hochschule,Juri-Gagarin-Ring 152 99084 Erfurt Thüringen,030 / 22027281,info@iu-akademie.de,https://www.iu-akademie.de/,"Für weitere Informationen zu unserer Weiterbildung, kann gerne ein persönlicher Beratungstermin vereinbart werden."
Human-Computer Interaction,27.11.2023,27.12.2023,1 Monat,1.000 - 5.000 EUR,"Mind. 2-jährige Berufsausbildung oder 3 Jahre Berufserfahrung Geübt im Umgang mit Laptop, iPad, PC, sowie der Nutzung des Internets MS Office Grundkenntnisse",ja,Vollzeit,Nein,Blended Learning,Nein,Zertifikat der IU Akademie,Human-Computer Interaction,https://www.iu-akademie.de/short/n_110/,Internationale Hochschule Internationale Hochschule,Private Hochschule,Juri-Gagarin-Ring 152 99084 Erfurt Thüringen,030 / 22027281,info@iu-akademie.de,https://www.iu-akademie.de/,"Für weitere Informationen zu unserer Weiterbildung, kann gerne ein persönlicher Beratungstermin vereinbart werden."
Introduction to Programming with Python,27.11.2023,27.12.2023,1 Monat,1.000 - 5.000 EUR,"Mind. 2-jährige Berufsausbildung oder 3 Jahre Berufserfahrung Geübt im Umgang mit Laptop, iPad, PC, sowie der Nutzung des Internets MS Office Grundkenntnisse Sprachkenntnisse: mind. Englisch B2 Englisch auf B2 Niveau",ja,Vollzeit,Nein,Blended Learning,Nein,Zertifikat der IU Akademie,Introduction to Programming with Python,https://www.iu-akademie.de/short/n_67/,Internationale Hochschule Internationale Hochschule,Private Hochschule,Juri-Gagarin-Ring 152 99084 Erfurt Thüringen,030 / 22027281,info@iu-akademie.de,https://www.iu-akademie.de/,"Für weitere Informationen zu unserer Weiterbildung, kann gerne ein persönlicher Beratungstermin vereinbart werden."
Introduction to Programming with Python,27.11.2023,27.12.2023,1 Monat,1.000 - 5.000 EUR,"Mind. 2-jährige Berufsausbildung oder 3 Jahre Berufserfahrung Geübt im Umgang mit Laptop, iPad, PC, sowie der Nutzung des Internets MS Office Grundkenntnisse Sprachkenntnisse: mind. Englisch B2 Englisch auf B2 Niveau",ja,Vollzeit,Nein,Blended Learning,Nein,Zertifikat der IU Akademie,Introduction to Programming with Python,https://www.iu-akademie.de/short/n_67/,Internationale Hochschule Internationale Hochschule,Private Hochschule,Juri-Gagarin-Ring 152 99084 Erfurt Thüringen,030 / 22027281,info@iu-akademie.de,https://www.iu-akademie.de/,"Für weitere Informationen zu unserer Weiterbildung, kann gerne ein persönlicher Beratungstermin vereinbart werden."
"Augmented, Mixed und Virtual Reality",27.11.2023,27.12.2023,1 Monat,1.000 - 5.000 EUR,"Mind. 2-jährige Berufsausbildung oder 3 Jahre Berufserfahrung Geübt im Umgang mit Laptop, iPad, PC, sowie der Nutzung des Internets MS Office Grundkenntnisse",ja,Vollzeit,Nein,Blended Learning,Nein,Zertifikat der IU Akademie,"Augmented, Mixed und Virtual Reality",https://www.iu-akademie.de/short/n_103/,Internationale Hochschule Internationale Hochschule,Private Hochschule,Juri-Gagarin-Ring 152 99084 Erfurt Thüringen,030 / 22027281,info@iu-akademie.de,https://www.iu-akademie.de/,"Für weitere Informationen zu unserer Weiterbildung, kann gerne ein persönlicher Beratungstermin vereinbart werden."
"Augmented, Mixed und Virtual Reality",27.11.2023,27.12.2023,1 Monat,1.000 - 5.000 EUR,"Mind. 2-jährige Berufsausbildung oder 3 Jahre Berufserfahrung Geübt im Umgang mit Laptop, iPad, PC, sowie der Nutzung des Internets MS Office Grundkenntnisse",ja,Vollzeit,Nein,Blended Learning,Nein,Zertifikat der IU Akademie,"Augmented, Mixed und Virtual Reality",https://www.iu-akademie.de/short/n_103/,Internationale Hochschule Internationale Hochschule,Private Hochschule,Juri-Gagarin-Ring 152 99084 Erfurt Thüringen,030 / 22027281,info@iu-akademie.de,https://www.iu-akademie.de/,"Für weitere Informationen zu unserer Weiterbildung, kann gerne ein persönlicher Beratungstermin vereinbart werden."
